hash,path,writer_id,label
d489f94a59002e1dcf445e2335fc5ba38367c2934e7efda272d38cc1ba03447b,signature_verification/full_forg/forgeries_1016_5.jpg,1016,forgery
d489f94a59002e1dcf445e2335fc5ba38367c2934e7efda272d38cc1ba03447b,signature_verification/full_forg/forgeries_1016_6.jpg,1016,forgery
6d72fdae2ed151445c6a1494fc9acb27433b07c826ccd9b9c2ace1f1f092786c,signature_verification/full_forg/forgeries_1021_1.jpg,1021,forgery
6d72fdae2ed151445c6a1494fc9acb27433b07c826ccd9b9c2ace1f1f092786c,signature_verification/full_forg/forgeries_1021_2.jpg,1021,forgery
1b39460cf545429e03443df563cacc9991bd9d4155072afd279b114874d20cea,signature_verification/full_forg/forgeries_1034_13.jpg,1034,forgery
1b39460cf545429e03443df563cacc9991bd9d4155072afd279b114874d20cea,signature_verification/full_forg/forgeries_1034_14.jpg,1034,forgery
ef77090d780deecb6ce76d987465c1e622b8b7a0063ac9fbbc0d8d9f6449f0a5,signature_verification/full_forg/forgeries_1054_5.jpg,1054,forgery
ef77090d780deecb6ce76d987465c1e622b8b7a0063ac9fbbc0d8d9f6449f0a5,signature_verification/full_forg/forgeries_1054_6.jpg,1054,forgery
14614f1a65b939d1fd4f9488c58c78d705d7ba01f0da1aeff45ec697fba89192,signature_verification/full_forg/forgeries_1080_10.jpg,1080,forgery
14614f1a65b939d1fd4f9488c58c78d705d7ba01f0da1aeff45ec697fba89192,signature_verification/full_forg/forgeries_1080_9.jpg,1080,forgery
c156a67838d402ce806ccfc580b4ee01a7a5ed61086af8df27774c3e0581ffd0,signature_verification/full_forg/forgeries_109_10.jpg,109,forgery
c156a67838d402ce806ccfc580b4ee01a7a5ed61086af8df27774c3e0581ffd0,signature_verification/full_forg/forgeries_109_9.jpg,109,forgery
009bf1aba3354be7aadfd2e0e65b45b9e649465174d4f8ac33a52a1b47f0c173,signature_verification/full_forg/forgeries_1156_10.jpg,1156,forgery
009bf1aba3354be7aadfd2e0e65b45b9e649465174d4f8ac33a52a1b47f0c173,signature_verification/full_forg/forgeries_1156_9.jpg,1156,forgery
b2f5f1c5a2f2e5b4d5b0e4d5003192e964cb84f664f4d7d59c81f6436aca8b8e,signature_verification/full_forg/forgeries_1157_13.jpg,1157,forgery
b2f5f1c5a2f2e5b4d5b0e4d5003192e964cb84f664f4d7d59c81f6436aca8b8e,signature_verification/full_forg/forgeries_1157_14.jpg,1157,forgery
bd47847b33e18439c6a28be1d5dce45f879af534f652572493d4175733ce8944,signature_verification/full_forg/forgeries_1209_5.jpg,1209,forgery
bd47847b33e18439c6a28be1d5dce45f879af534f652572493d4175733ce8944,signature_verification/full_forg/forgeries_1209_6.jpg,1209,forgery
d0b93fc4a0a01c047f924dfea4313635f0d30e7ccbcca2fa4e0b48eaa2e786a3,signature_verification/full_forg/forgeries_1224_1.jpg,1224,forgery
d0b93fc4a0a01c047f924dfea4313635f0d30e7ccbcca2fa4e0b48eaa2e786a3,signature_verification/full_forg/forgeries_1224_2.jpg,1224,forgery
572e54b96b09f01a0211560cc2ffadd3e4798e2270cefb6f4477230782dad0a7,signature_verification/full_forg/forgeries_1234_13.jpg,1234,forgery
572e54b96b09f01a0211560cc2ffadd3e4798e2270cefb6f4477230782dad0a7,signature_verification/full_forg/forgeries_1234_14.jpg,1234,forgery
5760209bae13a944d0375bc558b79582dd3260dd46965e53e306642d4a97b9cb,signature_verification/full_forg/forgeries_1256_10.jpg,1256,forgery
5760209bae13a944d0375bc558b79582dd3260dd46965e53e306642d4a97b9cb,signature_verification/full_forg/forgeries_1256_9.jpg,1256,forgery
f2a1a789a95905b66c98b5ee567618219dfe80d44478ae827d8080dee166ad8d,signature_verification/full_forg/forgeries_1286_5.jpg,1286,forgery
f2a1a789a95905b66c98b5ee567618219dfe80d44478ae827d8080dee166ad8d,signature_verification/full_forg/forgeries_1286_6.jpg,1286,forgery
23e8ffb923addca05f1e1ed1214ad3339eb67408ed2e3e48053a69c83b1aeba5,signature_verification/full_forg/forgeries_1293_1.jpg,1293,forgery
23e8ffb923addca05f1e1ed1214ad3339eb67408ed2e3e48053a69c83b1aeba5,signature_verification/full_forg/forgeries_1293_2.jpg,1293,forgery
96c9d6334ac413b5949941578e085f2f78400957ad92e805ffa495e5c9fd0731,signature_verification/full_forg/forgeries_1312_13.jpg,1312,forgery
96c9d6334ac413b5949941578e085f2f78400957ad92e805ffa495e5c9fd0731,signature_verification/full_forg/forgeries_1312_14.jpg,1312,forgery
