path,writer_id,label,ink_fraction,bbox_width,bbox_height,bbox_aspect_ratio,mean_intensity,mean_ink_intensity
signature_verification/full_forg/forgeries_1000_1.jpg,1000,forgery,0.030351906158357773,184,123,1.4959349593495934,252.12454545454545,172.82995169082125
signature_verification/full_forg/forgeries_1000_10.jpg,1000,forgery,0.039472140762463345,184,91,2.021978021978022,251.43765395894428,172.93610698365526
signature_verification/full_forg/forgeries_1000_11.jpg,1000,forgery,0.04586510263929619,190,103,1.8446601941747574,221.48038123167154,157.18222506393863
signature_verification/full_forg/forgeries_1000_12.jpg,1000,forgery,0.030117302052785924,177,82,2.158536585365854,218.61398826979473,150.33885102239532
signature_verification/full_forg/forgeries_1000_13.jpg,1000,forgery,0.03671554252199413,186,107,1.7383177570093458,246.9284457478006,56.0055910543131
signature_verification/full_forg/forgeries_1000_14.jpg,1000,forgery,0.019824046920821115,148,78,1.8974358974358974,250.64739002932552,55.94822485207101
signature_verification/full_forg/forgeries_1000_15.jpg,1000,forgery,0.036744868035190614,186,107,1.7383177570093458,207.46551319648094,26.7366320830008
signature_verification/full_forg/forgeries_1000_16.jpg,1000,forgery,0.020821114369501466,157,71,2.211267605633803,242.0632258064516,73.44225352112676
signature_verification/full_forg/forgeries_1000_2.jpg,1000,forgery,0.02035190615835777,156,89,1.752808988764045,253.08806451612904,173.34726224783861
signature_verification/full_forg/forgeries_1000_3.jpg,1000,forgery,0.02973607038123167,184,123,1.4959349593495934,239.54129032258064,168.89644970414201
signature_verification/full_forg/forgeries_1000_4.jpg,1000,forgery,0.02592375366568915,176,111,1.5855855855855856,228.7475366568915,153.02262443438914
signature_verification/full_forg/forgeries_1000_5.jpg,1000,forgery,0.029882697947214078,194,111,1.7477477477477477,249.63950146627565,96.94013738959764
signature_verification/full_forg/forgeries_1000_6.jpg,1000,forgery,0.013636363636363636,157,86,1.8255813953488371,252.479853372434,94.76344086021506
signature_verification/full_forg/forgeries_1000_7.jpg,1000,forgery,0.02782991202346041,194,111,1.7477477477477477,241.63633431085043,107.59641728134879
signature_verification/full_forg/forgeries_1000_8.jpg,1000,forgery,0.017448680351906158,178,82,2.1707317073170733,231.1141348973607,87.65378151260504
signature_verification/full_forg/forgeries_1000_9.jpg,1000,forgery,0.04879765395894428,190,103,1.8446601941747574,250.5665395894428,172.45733173076923
signature_verification/full_forg/forgeries_1001_1.jpg,1001,forgery,0.02217008797653959,160,57,2.807017543859649,251.65149560117302,126.76190476190476
