writer_id,inst_path,gpds_path,hamming
1,signature_verification/full_org/original_1_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/001/c-001-24.jpg,2
1,signature_verification/full_org/original_1_11.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/001/c-001-11.jpg,4
1,signature_verification/full_org/original_1_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/001/c-001-11.jpg,0
1,signature_verification/full_forg/forgeries_1_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/001/cf-001-02.jpg,4
1,signature_verification/full_forg/forgeries_1_11.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/001/cf-001-01.jpg,4
1,signature_verification/full_forg/forgeries_1_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/001/cf-001-15.jpg,0
1,signature_verification/full_forg/forgeries_1_15.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/001/cf-001-15.jpg,0
1,signature_verification/full_forg/forgeries_1_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/001/cf-001-01.jpg,4
2,signature_verification/full_org/original_2_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/002/c-002-14.jpg,4
2,signature_verification/full_org/original_2_11.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/002/c-002-08.jpg,2
2,signature_verification/full_org/original_2_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/002/c-002-03.jpg,4
2,signature_verification/full_org/original_2_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/002/c-002-08.jpg,2
2,signature_verification/full_forg/forgeries_2_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/002/cf-002-18.jpg,0
2,signature_verification/full_forg/forgeries_2_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/002/cf-002-28.jpg,2
2,signature_verification/full_forg/forgeries_2_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/002/cf-002-02.jpg,4
3,signature_verification/full_org/original_3_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/c-003-24.jpg,0
3,signature_verification/full_org/original_3_3.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/c-003-24.jpg,4
3,signature_verification/full_org/original_3_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/c-003-20.jpg,2
3,signature_verification/full_org/original_3_6.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/c-003-20.jpg,2
3,signature_verification/full_org/original_3_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/c-003-09.jpg,2
3,signature_verification/full_forg/forgeries_3_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/cf-003-29.jpg,2
3,signature_verification/full_forg/forgeries_3_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/cf-003-28.jpg,2
3,signature_verification/full_forg/forgeries_3_15.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/cf-003-28.jpg,4
3,signature_verification/full_forg/forgeries_3_3.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/cf-003-29.jpg,4
3,signature_verification/full_forg/forgeries_3_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/cf-003-02.jpg,2
3,signature_verification/full_forg/forgeries_3_7.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/cf-003-02.jpg,4
3,signature_verification/full_forg/forgeries_3_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/003/cf-003-04.jpg,2
4,signature_verification/full_org/original_4_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/c-004-04.jpg,0
4,signature_verification/full_org/original_4_11.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/c-004-07.jpg,2
4,signature_verification/full_org/original_4_3.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/c-004-04.jpg,2
4,signature_verification/full_org/original_4_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/c-004-09.jpg,2
4,signature_verification/full_org/original_4_7.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/c-004-09.jpg,4
4,signature_verification/full_org/original_4_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/c-004-07.jpg,2
4,signature_verification/full_forg/forgeries_4_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/cf-004-17.jpg,2
4,signature_verification/full_forg/forgeries_4_3.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/cf-004-17.jpg,2
4,signature_verification/full_forg/forgeries_4_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/cf-004-16.jpg,0
4,signature_verification/full_forg/forgeries_4_7.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/cf-004-16.jpg,4
4,signature_verification/full_forg/forgeries_4_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/004/cf-004-30.jpg,0
5,signature_verification/full_org/original_5_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/005/c-005-11.jpg,2
5,signature_verification/full_org/original_5_3.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/005/c-005-11.jpg,2
5,signature_verification/full_org/original_5_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/005/c-005-01.jpg,2
5,signature_verification/full_org/original_5_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/005/c-005-16.jpg,4
5,signature_verification/full_forg/forgeries_5_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/005/cf-005-07.jpg,2
