dataset,path,max_abs_diff
bhsig260_bengali,BHSig260-Bengali/21/B-S-21-F-21.tif,0
bhsig260_bengali,BHSig260-Bengali/10/B-S-10-G-01.tif,0
bhsig260_bengali,BHSig260-Bengali/9/B-S-9-G-09.tif,0
bhsig260_bengali,BHSig260-Bengali/25/B-S-25-F-25.tif,0
bhsig260_bengali,BHSig260-Bengali/15/B-S-15-F-04.tif,0
bhsig260_bengali,BHSig260-Bengali/17/B-S-17-F-20.tif,0
bhsig260_bengali,BHSig260-Bengali/22/B-S-22-F-29.tif,0
bhsig260_bengali,BHSig260-Bengali/13/B-S-13-F-10.tif,0
bhsig260_bengali,BHSig260-Bengali/22/B-S-22-G-17.tif,0
bhsig260_bengali,BHSig260-Bengali/24/B-S-24-F-27.tif,0
bhsig260_bengali,BHSig260-Bengali/12/B-S-12-G-03.tif,0
bhsig260_bengali,BHSig260-Bengali/7/B-S-7-G-19.tif,0
bhsig260_bengali,BHSig260-Bengali/6/B-S-6-F-24.tif,0
bhsig260_bengali,BHSig260-Bengali/15/B-S-15-G-09.tif,0
bhsig260_bengali,BHSig260-Bengali/12/B-S-12-F-25.tif,0
bhsig260_bengali,BHSig260-Bengali/8/B-S-8-G-04.tif,0
bhsig260_bengali,BHSig260-Bengali/8/B-S-8-G-13.tif,0
bhsig260_bengali,BHSig260-Bengali/10/B-S-10-F-26.tif,0
bhsig260_bengali,BHSig260-Bengali/21/B-S-21-F-10.tif,0
bhsig260_bengali,BHSig260-Bengali/13/B-S-13-F-27.tif,0
bhsig260_bengali,BHSig260-Bengali/13/B-S-13-G-16.tif,0
bhsig260_bengali,BHSig260-Bengali/13/B-S-13-F-28.tif,0
bhsig260_bengali,BHSig260-Bengali/18/B-S-18-G-08.tif,0
bhsig260_bengali,BHSig260-Bengali/16/B-S-16-G-11.tif,0
bhsig260_bengali,BHSig260-Bengali/9/B-S-9-F-13.tif,0
bhsig260_bengali,BHSig260-Bengali/11/B-S-11-F-06.tif,0
bhsig260_bengali,BHSig260-Bengali/20/B-S-20-F-04.tif,0
bhsig260_bengali,BHSig260-Bengali/23/B-S-23-G-18.tif,0
bhsig260_bengali,BHSig260-Bengali/11/B-S-11-F-07.tif,0
bhsig260_bengali,BHSig260-Bengali/10/B-S-10-F-27.tif,0
bhsig260_bengali,BHSig260-Bengali/22/B-S-22-F-03.tif,0
bhsig260_bengali,BHSig260-Bengali/15/B-S-15-G-19.tif,0
bhsig260_bengali,BHSig260-Bengali/16/B-S-16-G-10.tif,0
bhsig260_bengali,BHSig260-Bengali/23/B-S-23-F-30.tif,0
bhsig260_bengali,BHSig260-Bengali/20/B-S-20-G-20.tif,0
bhsig260_bengali,BHSig260-Bengali/15/B-S-15-G-15.tif,0
bhsig260_bengali,BHSig260-Bengali/12/B-S-12-F-24.tif,0
bhsig260_bengali,BHSig260-Bengali/7/B-S-7-G-08.tif,0
bhsig260_bengali,BHSig260-Bengali/18/B-S-18-G-15.tif,0
bhsig260_hindi,BHSig260-Hindi/69/H-S-69-F-02.tif,0
bhsig260_hindi,BHSig260-Hindi/30/H-S-30-G-05.tif,0
bhsig260_hindi,BHSig260-Hindi/102/H-S-102-F-07.tif,0
bhsig260_hindi,BHSig260-Hindi/67/H-S-67-F-17.tif,0
bhsig260_hindi,BHSig260-Hindi/88/H-S-88-F-20.tif,0
bhsig260_hindi,BHSig260-Hindi/99/H-S-99-F-22.tif,0
bhsig260_hindi,BHSig260-Hindi/33/H-S-33-F-12.tif,0
bhsig260_hindi,BHSig260-Hindi/47/H-S-47-F-15.tif,0
bhsig260_hindi,BHSig260-Hindi/48/H-S-48-G-17.tif,0
bhsig260_hindi,BHSig260-Hindi/92/H-S-92-F-27.tif,0
bhsig260_hindi,BHSig260-Hindi/63/H-S-63-G-17.tif,0
bhsig260_hindi,BHSig260-Hindi/70/H-S-70-G-01.tif,0
bhsig260_hindi,BHSig260-Hindi/33/H-S-33-G-13.tif,0
bhsig260_hindi,BHSig260-Hindi/70/H-S-70-F-07.tif,0
bhsig260_hindi,BHSig260-Hindi/118/H-S-118-F-14.tif,0
bhsig260_hindi,BHSig260-Hindi/50/H-S-50-F-08.tif,0
bhsig260_hindi,BHSig260-Hindi/69/H-S-69-G-24.tif,0
bhsig260_hindi,BHSig260-Hindi/99/H-S-99-F-20.tif,0
bhsig260_hindi,BHSig260-Hindi/55/H-S-55-F-06.tif,0
bhsig260_hindi,BHSig260-Hindi/99/H-S-99-F-04.tif,0
bhsig260_hindi,BHSig260-Hindi/53/H-S-53-G-22.tif,0
bhsig260_hindi,BHSig260-Hindi/49/H-S-49-G-02.tif,0
bhsig260_hindi,BHSig260-Hindi/66/H-S-66-G-12.tif,0
bhsig260_hindi,BHSig260-Hindi/119/H-S-119-G-09.tif,0
bhsig260_hindi,BHSig260-Hindi/49/H-S-49-G-17.tif,0
bhsig260_hindi,BHSig260-Hindi/83/H-S-83-G-07.tif,0
bhsig260_hindi,BHSig260-Hindi/47/H-S-47-F-01.tif,0
bhsig260_hindi,BHSig260-Hindi/36/H-S-36-F-13.tif,0
bhsig260_hindi,BHSig260-Hindi/92/H-S-92-G-21.tif,0
bhsig260_hindi,BHSig260-Hindi/38/H-S-38-F-16.tif,0
bhsig260_hindi,BHSig260-Hindi/96/H-S-96-G-11.tif,0
bhsig260_hindi,BHSig260-Hindi/102/H-S-102-F-24.tif,0
bhsig260_hindi,BHSig260-Hindi/99/H-S-99-G-16.tif,0
bhsig260_hindi,BHSig260-Hindi/58/H-S-58-F-14.tif,0
bhsig260_hindi,BHSig260-Hindi/97/H-S-97-G-24.tif,0
bhsig260_hindi,BHSig260-Hindi/71/H-S-71-F-12.tif,0
bhsig260_hindi,BHSig260-Hindi/8/H-S-8-F-18.tif,0
bhsig260_hindi,BHSig260-Hindi/28/H-S-28-F-03.tif,0
bhsig260_hindi,BHSig260-Hindi/65/H-S-65-F-15.tif,0
bhsig260_hindi,BHSig260-Hindi/36/H-S-36-F-22.tif,0
bhsig260_hindi,BHSig260-Hindi/92/H-S-92-G-04.tif,0
bhsig260_hindi,BHSig260-Hindi/66/H-S-66-F-02.tif,0
bhsig260_hindi,BHSig260-Hindi/85/H-S-85-G-20.tif,0
bhsig260_hindi,BHSig260-Hindi/98/H-S-98-G-12.tif,0
bhsig260_hindi,BHSig260-Hindi/30/H-S-30-F-11.tif,0
bhsig260_hindi,BHSig260-Hindi/37/H-S-37-F-19.tif,0
bhsig260_hindi,BHSig260-Hindi/85/H-S-85-F-26.tif,0
bhsig260_hindi,BHSig260-Hindi/64/H-S-64-F-05.tif,0
bhsig260_hindi,BHSig260-Hindi/60/H-S-60-F-23.tif,0
bhsig260_hindi,BHSig260-Hindi/42/H-S-42-G-12.tif,0
bhsig260_hindi,BHSig260-Hindi/49/H-S-49-G-15.tif,0
bhsig260_hindi,BHSig260-Hindi/33/H-S-33-F-24.tif,0
bhsig260_hindi,BHSig260-Hindi/44/H-S-44-F-24.tif,0
bhsig260_hindi,BHSig260-Hindi/120/H-S-120-G-09.tif,0
bhsig260_hindi,BHSig260-Hindi/95/H-S-95-G-23.tif,0
bhsig260_hindi,BHSig260-Hindi/60/H-S-60-F-26.tif,0
bhsig260_hindi,BHSig260-Hindi/41/H-S-41-F-29.tif,0
bhsig260_hindi,BHSig260-Hindi/135/H-S-135-F-30.tif,0
bhsig260_hindi,BHSig260-Hindi/68/H-S-68-G-01.tif,0
bhsig260_hindi,BHSig260-Hindi/118/H-S-118-F-29.tif,0
bhsig260_hindi,BHSig260-Hindi/91/H-S-91-G-14.tif,0
bhsig260_hindi,BHSig260-Hindi/69/H-S-69-G-11.tif,0
bhsig260_hindi,BHSig260-Hindi/83/H-S-83-F-05.tif,0
bhsig260_hindi,BHSig260-Hindi/53/H-S-53-F-24.tif,0
bhsig260_hindi,BHSig260-Hindi/107/H-S-107-F-02.tif,0
bhsig260_hindi,BHSig260-Hindi/104/H-S-104-G-07.tif,0
bhsig260_hindi,BHSig260-Hindi/120/H-S-120-F-27.tif,0
bhsig260_hindi,BHSig260-Hindi/46/H-S-46-F-11.tif,0
bhsig260_hindi,BHSig260-Hindi/44/H-S-44-F-09.tif,0
bhsig260_hindi,BHSig260-Hindi/41/H-S-41-G-13.tif,0
bhsig260_hindi,BHSig260-Hindi/66/H-S-66-F-09.tif,0
bhsig260_hindi,BHSig260-Hindi/54/H-S-54-G-12.tif,0
bhsig260_hindi,BHSig260-Hindi/41/H-S-41-F-11.tif,0
bhsig260_hindi,BHSig260-Hindi/107/H-S-107-F-26.tif,0
bhsig260_hindi,BHSig260-Hindi/92/H-S-92-G-09.tif,0
bhsig260_hindi,BHSig260-Hindi/104/H-S-104-F-23.tif,0
bhsig260_hindi,BHSig260-Hindi/94/H-S-94-G-10.tif,0
bhsig260_hindi,BHSig260-Hindi/75/H-S-75-F-08.tif,0
bhsig260_hindi,BHSig260-Hindi/60/H-S-60-G-15.tif,0
bhsig260_hindi,BHSig260-Hindi/70/H-S-70-F-29.tif,0
bhsig260_hindi,BHSig260-Hindi/38/H-S-38-G-17.tif,0
bhsig260_hindi,BHSig260-Hindi/97/H-S-97-F-03.tif,0
bhsig260_hindi,BHSig260-Hindi/11/H-S-011-F-17.tif,0
bhsig260_hindi,BHSig260-Hindi/70/H-S-70-F-25.tif,0
bhsig260_hindi,BHSig260-Hindi/118/H-S-118-F-09.tif,0
bhsig260_hindi,BHSig260-Hindi/80/H-S-80-F-28.tif,0
bhsig260_hindi,BHSig260-Hindi/56/H-S-56-F-08.tif,0
bhsig260_hindi,BHSig260-Hindi/45/H-S-45-G-01.tif,0
bhsig260_hindi,BHSig260-Hindi/17/H-S-017-G-15.tif,0
bhsig260_hindi,BHSig260-Hindi/120/H-S-120-G-21.tif,0
bhsig260_hindi,BHSig260-Hindi/70/H-S-70-F-15.tif,0
bhsig260_hindi,BHSig260-Hindi/49/H-S-49-G-09.tif,0
bhsig260_hindi,BHSig260-Hindi/64/H-S-64-F-02.tif,0
bhsig260_hindi,BHSig260-Hindi/6/H-S-6-F-23.tif,0
bhsig260_hindi,BHSig260-Hindi/56/H-S-56-G-02.tif,0
bhsig260_hindi,BHSig260-Hindi/101/H-S-101-G-21.tif,0
bhsig260_hindi,BHSig260-Hindi/15/H-S-15-F-02.tif,0
bhsig260_hindi,BHSig260-Hindi/82/H-S-82-G-23.tif,0
bhsig260_hindi,BHSig260-Hindi/99/H-S-99-G-18.tif,0
