path,writer_id,label,width,height,aspect_ratio,mode
signature_verification/full_forg/forgeries_1000_1.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_10.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_11.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_12.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_13.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_14.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_15.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_16.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_2.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_3.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_4.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_5.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_6.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_7.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_8.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1000_9.jpg,1000,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_1.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_10.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_11.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_12.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_13.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_14.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_15.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_16.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_2.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_3.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_4.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_5.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_6.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_7.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_8.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1001_9.jpg,1001,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_1.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_10.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_11.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_12.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_13.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_14.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_15.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_16.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_2.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_3.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_4.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_5.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_6.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_7.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_8.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1002_9.jpg,1002,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1003_1.jpg,1003,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1003_10.jpg,1003,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1003_11.jpg,1003,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1003_12.jpg,1003,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1003_13.jpg,1003,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1003_14.jpg,1003,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1003_15.jpg,1003,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1003_16.jpg,1003,forgery,220,155,1.4193548387096775,RGB
signature_verification/full_forg/forgeries_1003_2.jpg,1003,forgery,220,155,1.4193548387096775,RGB
