dataset,writer_id,label,path,filename,ext,filename_writer_id,id_mismatch,label_mismatch
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-01.tif,H-S-124-G-01.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-02.tif,H-S-124-G-02.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-03.tif,H-S-124-G-03.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-04.tif,H-S-124-G-04.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-05.tif,H-S-124-G-05.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-06.tif,H-S-124-G-06.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-07.tif,H-S-124-G-07.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-08.tif,H-S-124-G-08.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-09.tif,H-S-124-G-09.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-10.tif,H-S-124-G-10.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-11.tif,H-S-124-G-11.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-12.tif,H-S-124-G-12.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-13.tif,H-S-124-G-13.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-14.tif,H-S-124-G-14.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-15.tif,H-S-124-G-15.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-16.tif,H-S-124-G-16.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-17.tif,H-S-124-G-17.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-18.tif,H-S-124-G-18.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-19.tif,H-S-124-G-19.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-20.tif,H-S-124-G-20.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-21.tif,H-S-124-G-21.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-22.tif,H-S-124-G-22.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-23.tif,H-S-124-G-23.tif,.tif,124,True,False
bhsig260_hindi,123,genuine,C:\Users\nehas\Downloads\robust-signature-verification\data\raw\BHSig260-Hindi\123\H-S-124-G-24.tif,H-S-124-G-24.tif,.tif,124,True,False
